dataset,seed,method,metric,value,source_summary
CICIoV2024,42,centralized,roc_auc,0.9999999503888176,experiments/02_multiseed/results/CICIoV2024/seed_42/centralized/centralized_xgboost_CICIoV2024_summary.json
CICIoV2024,42,nondp,accuracy,0.9999810635648786,experiments/02_multiseed/results/CICIoV2024/seed_42/nondp_local_10/iov_global_server_ensemble_summary.json
CICIoV2024,42,nondp,precision,1.0,experiments/02_multiseed/results/CICIoV2024/seed_42/nondp_local_10/iov_global_server_ensemble_summary.json
CICIoV2024,42,nondp,recall,0.9998554495518936,experiments/02_multiseed/results/CICIoV2024/seed_42/nondp_local_10/iov_global_server_ensemble_summary.json
CICIoV2024,42,nondp,f1,0.9999277195518612,experiments/02_multiseed/results/CICIoV2024/seed_42/nondp_local_10/iov_global_server_ensemble_summary.json
CICIoV2024,42,nondp,roc_auc,0.9999999007776355,experiments/02_multiseed/results/CICIoV2024/seed_42/nondp_local_10/iov_global_server_ensemble_summary.json
CICIoV2024,42,dp,accuracy,1.0,experiments/02_multiseed/results/CICIoV2024/seed_42/full_dp/global_ensemble_summary.json
CICIoV2024,42,dp,precision,1.0,experiments/02_multiseed/results/CICIoV2024/seed_42/full_dp/global_ensemble_summary.json
CICIoV2024,42,dp,recall,1.0,experiments/02_multiseed/results/CICIoV2024/seed_42/full_dp/global_ensemble_summary.json
CICIoV2024,42,dp,f1,1.0,experiments/02_multiseed/results/CICIoV2024/seed_42/full_dp/global_ensemble_summary.json
CICIoV2024,42,dp,roc_auc,1.0,experiments/02_multiseed/results/CICIoV2024/seed_42/full_dp/global_ensemble_summary.json
CICIoV2024,43,centralized,accuracy,0.9999905317824394,experiments/02_multiseed/results/CICIoV2024/seed_43/centralized/centralized_xgboost_CICIoV2024_summary.json
CICIoV2024,43,centralized,precision,0.9999638623879734,experiments/02_multiseed/results/CICIoV2024/seed_43/centralized/centralized_xgboost_CICIoV2024_summary.json
